word	ipa
a	ʔ ee
aamir	ʔ aa . m iə
aaron	ʔ aa . r o n
ab	ʔ a p
abarca	ʔ aa . ɓ aa . kh aa
abbas	ʔ aa . ɓ a h
abbott	ʔ aa . ɓ o t
abbvie	ʔ ɛɛ p . w ii
abdel	ʔ a p . ɗ ɛɛ l
abdul	ʔ a p . ɗ u l
abdullah	ʔ a p . ɗ u l . l a h
abe	ʔ aa . ɓ ee
abercrombie	ʔ aa . ɓ əə . k r oo m . ɓ ii
abogado	ʔ aa . ɓ oo . g aa . ɗ oo
about	ʔ ə ʔ . ɓ a w
abraham	ʔ aa . p r aa . h a m
abu	ʔ aa . ɓ uu
abuja	ʔ aa . ɓ uu . c aa
ac	ʔ ee . s ii
acacia	ʔ aa . kh aa . s j aa
academy	ʔ aa . kh aa . ɗ əə . m ii
accenture	ʔ aa . s ə n . ch əə
access	ʔ ɛɛ k . s ɛ h
accessories	ʔ ɛɛ k . s ɛ h . s oo . r ii
account	ʔ aa . kh ao n
accountant	ʔ aa . kh ao n . th ɛɛ n
accountants	ʔ aa . kh ao n . th ə n
ace	ʔ ee . s ii . ʔ ii
acetaminophen	ʔ aa . s ee . t aa . m ii . n oo . f ɛɛ n
ach	ʔ a c
achar	ʔ aa . c aa
ackup	ʔ ɛɛ k . ʔ a p
acledabank	ʔ ee . s ii . l ii . ɗ aa . ɓ ɛɛ ŋ
acmilan	ʔ ee . s ii . m ii . l əə n
acquisition	ʔ ɛɛ . k w ii . z ii . s ə n
acra	ʔ ee . s ii . ʔ ɑɑ . ʔ ee
active	ʔ ɛɛ k . th ii w
activision	ʔ ɛɛ k . th ii . w ii . z ə n
actor	ʔ ɛɛ k . th əə
acuity	ʔ aa . k j uu . ʔ ii t . th ii
acura	ʔ aa . k j uu . r aa
ad	ʔ ee . ɗ ii
adam	ʔ aa . ɗ a m
adams	ʔ aa . ɗ a m
adcash	ʔ ɛɛ t . kh ɛɛ h
addthis	ʔ ɛɛ t . ɗ i h
adf	ʔ ee . ɗ ii . ʔ ɛɛ f
adhoc	ʔ aa t . h o k
adlure	ʔ ɛɛ t . l uə
admin	ʔ ɛɛ t . m ii n
administrator	ʔ ɛɛ t . m ii . n i h . s t r ee . th əə
adn	ʔ ee . ɗ ii . ʔ ə n
adobe	ʔ aa . ɗ oo . ɓ ii
adolf	ʔ aa . ɗ oo l
ads	ʔ ɛɛ t
adult	ʔ ə ʔ . ɗ a l
adunasib	ʔ aa . ɗ uu . n aa . s ə p
advance	ʔ ɛɛ t . w aa n
advanced	ʔ ɛɛ t . w a n
ae	ʔ ae
aecom	ʔ ee . kh ɑ m
aek	ʔ ae k
aekak	ʔ ae k . k a ʔ
aekakpheap	ʔ ae k . k a ʔ . ph ie p
aem	ʔ ae m
aeng	ʔ ae ŋ
aeon	ʔ ii . ʔ ɑɑ n
aero	ʔ ɛə . r oo
aerospace	ʔ ɛə . r oo . s p ee h
aerosystems	ʔ ɛə . r oo . s ii s . t ə m
aetna	ʔ ae t . n aa
affiliated	ʔ aa . f ii . l ii . ʔ ee t . th ii t
affleck	ʔ aa f . f l ɛɛ k
aflac	ʔ aa . f l ɛɛ k
afp	ʔ ee . ʔ ɛɛ f . ph ii
afpforum	ʔ ee . ʔ ɛɛ f . ph ii . f ɑɑ . r ə m
age	ʔ ee c
agency	ʔ ee . c ə n . s ii
aggregates	ʔ aa . g r ii . g ee t
agilent	ʔ ee . c ii . l ɛɛ n
agke	ʔ ee . c ii . kh ee . ʔ ii
agoda	ʔ aa . g oo . ɗ aa
ah	ʔ aa
aha	ʔ aa . h aa
ahrak	ʔ aa . r ea k
airasia	ʔ ie . ʔ ee . s iə
airbus	ʔ ɛɛ . ɓ ə h
airforce	ʔ ɛə . f ɑɑ h
airgas	ʔ ɛə . g ea h
airlines	ʔ ɛə . l aa ɲ
airtel	ʔ ɛə . th ɛɛ l
airways	ʔ ɛə . w ee
aizhai	ʔ a j . z a j
aja	ʔ aa . c aa
ajinomoto	ʔ aa . c ii . n oo . m oo . t o ʔ
ak	ʔ ɑɑ k
aka	ʔ ee . kh ee . ʔ ee
akamaihd	ʔ aa . k aa . m a j . ʔ ee ch . ɗ ii
akio	ʔ aa . kh ii . ʔ oo
akleangkaer	ʔ a k . l ea ŋ . k ae
ako	ʔ aa . k oo
akphivoad	ʔ a ʔ . ph i ʔ . w oa t
akphivoadth	ʔ a ʔ . ph i ʔ . w oa t
akphivoat	ʔ a ʔ . ph i ʔ . w oa t
akphivodth	ʔ a ʔ . ph i ʔ . w oa t
akphivorth	ʔ a ʔ . ph i ʔ . w oa t
akpiwat	ʔ a ʔ . ph i ʔ . w oa t
akra	ʔ aa . k r aa
akreiy	ʔ a ʔ . r ə j
aksar	ʔ a k . s ɑɑ
al-nahyan	ʔ a l . n a h . j aa n
alaeng	ʔ aa . l ae ŋ
alan	ʔ ee . l ɛɛ n
alaska	ʔ aa . l aa s . k aa
alba	ʔ a l . ɓ aa
albao	ʔ a l . ɓ a w
albemarle	ʔ a l . ɓ əə . m aa . l ii
albert	ʔ a l . ɓ əə t
albire	ʔ a l . ɓ iə . r ii
alcoa	ʔ a l . k oa
aldo	ʔ a l . ɗ oo
aldolase	ʔ aa l . ɗ oo . l a h
aldrich	ʔ a l . ɗ r ɨ c
alere	ʔ aa . l iə
aleris	ʔ aa . l əə . r i h
alessandra	ʔ aa . l ɛ h . s a n . ɗ r aa
alexander	ʔ aa . l ə c . s a n . ɗ əə
alexey	ʔ aa . l ə c . s ii
alexion	ʔ aa . l ə c . s ə n
algeria	ʔ a l . z ee . r iə
ali	ʔ aa . l ii
alibaba	ʔ aa . l ii . ɓ aa . ɓ aa
alice	ʔ aa . l i h
aliexpress	ʔ aa . l ii . ʔ ə c . s p r ɛɛ h
alighieri	ʔ aa . l ii . g əə . r ii
aliko	ʔ aa . l ii . k oo
alila	ʔ aa . l ii . l aa
alisher	ʔ aa . l i h . s əə
alkylphenoletho	ʔ a l . k ii l . ph ee . n oo . l ee . th oo
alleghany	ʔ ɛɛ l . l əə . g ee . n ii
allegheny	ʔ a l . l əə . g ee . n ii
allen	ʔ a l . l ɛɛ n
allergan	ʔ a l . l əə . g ə n
allfinanz	ʔ ɑɑ l . f ii . n a n
alliance	ʔ aa . l aa j . ʔ ə n
alliant	ʔ aa . l aa j . ʔ ə n
allison	ʔ aa . l ii . s ə n
allkpop	ʔ ɑɑ l . kh ee . ph ɑ p
allpop	ʔ ɑɑ l . ph ɑ p
allstate	ʔ ɑɑ l . s t ee t
ally	ʔ a l . l aa j
alogh	ʔ aa . l o k
alpha	ʔ a l . f aa
alphahydro	ʔ a l . f aa . h aa j . ɗ r oo
alsace	ʔ a l . s ɛɛ k
alter	ʔ ɑɑ l . th əə
altria	ʔ a l . t r iə
altynbekova	ʔ a l . t ii n . ɓ ee . k oo . w aa
aluminum	ʔ aa . l uu . m ii . n ɨ m
amadeus	ʔ aa . m aa . ɗ iə h
amazing	ʔ aa . m ee . z ii ŋ
amazon	ʔ aa . m aa . z oo n
ambaeng	ʔ ɑ m . ɓ ae ŋ
ambang	ʔ ɑ m . ɓ a ŋ
ambani	ʔ a m . ɓ aa . n ii
ambel	ʔ ɑ m . ɓ ə l
ambil	ʔ ɑ m . ɓ ə l
amboes	ʔ ɑ m . ɓ əə h
ambrosio	ʔ ɑ m . p r oo . s j oo
amedeo	ʔ aa . m ee . ɗ ɛɛ w
amerco	ʔ aa . m əə . k oo
ameren	ʔ aa . m əə . r ɛɛ n
america	ʔ aa . m ee . r i ʔ . kh aa
american	ʔ aa . m ee . r ɨ c . kh ɛɛ n
ameriprise	ʔ aa . m ɛɛ . r ii . p r a j
amerisourcebergen	ʔ aa . m ɛɛ . r ii . s oa h . ɓ əə . g ə n
ameritrade	ʔ aa . m ɛɛ . r ii . t r ee t
ames	ʔ aa . m ɛ h
ametek	ʔ aa . m ee . t ə k
amgen	ʔ ɛɛ m . c ə n
amica	ʔ aa . m ii . k aa
amitabh	ʔ aa . m ii . th ɛɛ p
amkor	ʔ ɑ m . k ɔɔ
amleang	ʔ ɑɑ m . l ea ŋ
amoled	ʔ aa . m oo . l ɛɛ t
ampeae	ʔ ɑ m . p ɛɛ
ampeang	ʔ ɑ m . p ea ŋ
ampear	ʔ ɑ m . p ie
ampeng	ʔ ɑ m . p ee ŋ
amphenol	ʔ ɑ m . ph ee . n o l
ampil	ʔ ɑ m . p ɨ l
ampoan	ʔ ɑ m . p oa n
ampok	ʔ ɑ m . p ɔɔ k
ampor	ʔ ɑ m . p ɔɔ
ampov	ʔ ɑ m . p ɨ w
amprum	ʔ ɑ m . p r u m
ampu	ʔ ɑ m . p uu
ampuep	ʔ ɑ m . p ɨ p
ampuh	ʔ ɑ m . p u h
ampum	ʔ ɑ m . p uu m
amrae	ʔ ɑ m . r ae
amraek	ʔ ɑ m . r ɛɛ k
amsterdam	ʔ a m . s t əə . ɗ a m
amtrust	ʔ ɛɛ m . t r a h
amung	ʔ aa . m uu ŋ
an	ʔ ɑɑ n
ana	ʔ aa . n aa
anadarko	ʔ aa . n aa . ɗ aa . k oo
analog	ʔ aa . n aa . l ɑ k
analyze	ʔ ɛɛ n . n aa . l aa j
anat	ʔ aa . n aa t
ancha	ʔ a ɲ . c aa
and	ʔ ɛɛ n
andaeng	ʔ ɑ n . ɗ ae ŋ
andaet	ʔ ɑ n . ɗ ae t
andaeuk	ʔ ɑ n . ɗ aə k
andaot	ʔ ɑ n . ɗ ao t
andas	ʔ ɑ n . ɗ aa h
ander	ʔ ɛɛ n . ɗ əə
andersen	ʔ ɛɛ n . ɗ əə . s ə n
andersons	ʔ ɛɛ n . ɗ əə . s ə n
andeth	ʔ ɑ n . ɗ ae t
andith	ʔ ɛɛ n . ɗ ɨ t
andoal	ʔ ɑ n . ɗ ao l
andoung	ʔ ɑ n . ɗ oo ŋ
andrew	ʔ ɛɛ n . ɗ r uu
andria	ʔ ɛɛ n . ɗ r ie
andro	ʔ ɛɛ n . ɗ r oo
androgen	ʔ ɛɛ n . ɗ r oo . c ə n
android	ʔ ɛɛ n . ɗ r ɑɑ j
andy	ʔ ɛɛ n . ɗ ii
ange	ʔ a ŋ
angel	ʔ ɛɛ ŋ . c ɑɑ l
angela	ʔ ɛɛ ŋ . c əə . l aa
angelina	ʔ ɛɛ n . c əə . l ii . n aa
angk	ʔ ɑ ŋ
angkal	ʔ ɑ ŋ . k a l
angkam	ʔ ɑ ŋ . k aa m
angkanh	ʔ ɑ ŋ . k a ɲ
angkaol	ʔ ɑ ŋ . k ao l
angkar	ʔ ɑ ŋ . k aa
angkar	ʔ ɑ ŋ . k ɑɑ
angkatogeljitu	ʔ ɑ ŋ . k aa . th oo . g ɛɛ l . j ii . t uu
